연도,연봉(만원),WAR,이름
2011,,6.087,니퍼트
2012,,3.996,니퍼트
2013,,3.101,니퍼트
2014,"38,700",5.017,니퍼트
2015,"120,000",0.862,니퍼트
2016,"120,000",5.969,니퍼트
2017,"210,000",3.451,니퍼트
2018,"50,000",4.757,니퍼트
2017,"60,000",2.641,다이아몬드
2018,"90,000",2.343,듀브론트
2017,"105,000",-0.784,레나도
2016,"45,000",-0.284,레온
2013,,2.151,레이예스
2014,"30,000",0.390,레이예스
2015,"63,000",3.872,레일리
2016,"63,000",3.522,레일리
2017,"85,000",5.070,레일리
2018,"111,000",2.966,레일리
2019,"111,000",1.374,레일리
2015,"170,000",2.836,로저스
2016,"170,000",0.726,로저스
2018,"125,000",1.975,로저스
2015,"70,000",2.341,루카스
2011,,2.802,리즈
2012,,3.302,리즈
2013,,5.292,리즈
2015,"120,000",6.478,린드블럼
2016,"120,000",2.690,린드블럼
2017,"120,000",2.346,린드블럼
2018,"135,000",6.832,린드블럼
2019,"135,000",3.049,린드블럼
2016,"40,000",1.059,마리몬
2014,,1.268,마야
2015,"60,000",-0.913,마야
2017,"160,000",2.446,맨쉽
2013,,3.297,밴덴헐크
2014,,6.011,밴덴헐크
2018,"10,000",2.232,베렛
2018,"70,000",1.787,보니야
2016,"65,000",4.776,보우덴
2017,"110,000",1.175,보우덴
2014,"25,000",0.358,볼스테드
2017,"25,000",2.771,브리검
2018,"65,000",5.797,브리검
2019,"65,000",0.526,브리검
2017,"100,000",2.410,비야누에바
2018,"40,000",2.985,샘슨
2016,"45,000",-0.060,서캠프
2013,,5.276,세든
2015,"15,000",1.217,세든
2016,"40,000",-0.242,세든
2012,,3.024,소사
2013,,1.893,소사
2014,,2.786,소사
2015,"50,000",4.232,소사
2016,"50,000",2.625,소사
2017,"50,000",4.219,소사
2018,"120,000",4.971,소사
2015,"35,000",0.871,스와잭
2015,"40,000",2.187,스틴슨
2013,,1.398,아담
2018,"95,000",2.828,아델만
2014,"70,000",2.560,앨버스
2014,,1.736,어센시오
2015,"45,000",-1.052,어윈
2015,"15,000",0.234,에반
2017,"130,000",2.600,오간도
2017,"110,000",-0.572,오설리반
2013,,0.047,올슨
2014,"25,000",1.529,울프
2014,"25,000",2.568,웨버
2016,"75,000",0.804,웹스터
2013,"25,000",2.518,이브랜드
2016,"70,000",1.543,지크
2016,"200,000",0.708,카스티요
2016,"40,000",1.749,코엘로
2016,"20,000",-0.379,코프랜드
2015,"55,000",0.195,클로이드
2012,,1.990,탈보트
2015,"39,000",1.982,탈보트
2014,"16,000",1.358,토마스
2014,"40,000",1.574,티포드
2017,"70,000",3.510,팻딘
2018,"70,000",0.733,팻딘
2016,"25,000",-0.870,플란데
2015,"60,000",4.242,피가로
2016,"30,000",-0.383,피노
2015,"45,000",3.098,피어밴드
2016,"45,000",4.157,피어밴드
2017,"35,000",5.342,피어밴드
2018,"85,000",3.794,피어밴드
2013,,3.816,해커
2014,"30,000",4.307,해커
2015,"60,000",5.636,해커
2016,"60,000",4.885,해커
2017,"60,000",4.524,해커
2018,"60,000",0.945,해커
2016,"55,000",2.066,허프
2017,"100,000",4.953,허프
2015,"40,000",0.036,험버
2016,"170,000",6.644,헥터
2017,"170,000",5.856,헥터
2018,"170,000",2.981,헥터
2018,"70,000",4.133,후랭코프
2019,"70,000",1.436,후랭코프
2018,"47,500",1.436,휠러
2018,"85,000",1.899,산체스
2019,"85,000",2.139,산체스
2018,"80,000",6.332,윌슨
2019,"80,000",2.343,윌슨
2018,,1.487,헤일
